状態,棋士番号,棋士名,段位,生年月日,四段昇段日,五段昇段日,六段昇段日,七段昇段日,八段昇段日,九段昇段日,引退日,タイトル保持者
引退,129,中田章道,七段,,,,,,,,,
引退,130,大島映二,八段,,,,,,,,,
現役,131,谷川浩司,十七世名人,1962-04-06,1976-12-20,1979-04-01,1980-04-01,1981-04-01,1982-04-01,1984-04-01,,3
引退,132,松浦隆一,七段,,,,,,,,,
物故,133,青木清,七段,,,,,,,,,
物故,134,小野修一,八段,,,,,,,,,
引退,135,福崎文吾,九段,1959-12-06,1978-10-11,,,,,,,
引退,136,鈴木輝彦,八段,,,,,,,,,
物故,137,武者野勝巳,七段,,,,,,,,,
現役,138,脇謙二,九段,1960-08-10,1979-07-16,1983-04-01,1984-04-01,1990-04-01,2000-11-16,2021-04-01,,
退会,139,永作芳也,五段,1955-09-27,1979-10-03,,,,,,,
引退,140,瀬戸博晴,七段,,,,,,,,,
引退,141,児玉孝一,八段,,,,,,,,,
現役,142,高橋道雄,九段,1960-04-23,1980-06-04,1982-04-01,1984-04-01,1986-11-17,1989-04-01,1990-04-01,,
現役,143,中村修,九段,1962-11-07,1980-07-02,1982-04-01,1983-04-01,1986-04-01,1993-10-15,2008-01-23,,
現役,144,泉正樹,八段,1961-01-11,1980-08-20,1985-04-26,1989-06-23,1997-10-09,2013-07-04,,,
引退,145,依田有司,七段,,,,,,,,,
現役,146,島朗,九段,1963-02-19,1980-09-18,1984-05-10,1986-04-01,1989-04-01,1994-04-01,2008-04-17,,
現役,147,南芳一,九段,1963-06-08,1981-01-19,1982-04-01,1983-04-01,1985-04-01,1986-04-01,1989-02-22,,
現役,148,塚田泰明,九段,1964-11-16,1981-03-05,1983-04-01,1985-04-01,1987-04-01,1988-04-01,2000-12-15,,
現役,149,神谷広志,八段,1961-04-21,1981-03-18,1984-04-01,1989-03-17,1997-12-12,2014-05-01,,,
引退,150,植山悦行,七段,,,,,,,,,
物故,151,西川慶二,八段,,,,,,,,,
引退,152,武市三郎,七段,,,,,,,,,
引退,153,室岡克彦,八段,,,,,,,,,
引退,154,堀口弘治,八段,,,,,,,,,
引退,155,大野八一雄,七段,,,,,,,,,
引退,156,加瀬純一,七段,,,,,,,,,
現役,157,井上慶太,九段,1964-01-17,1983-02-04,1987-03-27,1991-07-12,1996-04-01,1997-04-01,2011-03-03,,
引退,158,有森浩三,八段,,,,,,,,,
引退,159,飯田弘之,七段,,,,,,,,,
引退,160,神吉宏充,七段,,,,,,,,,
現役,161,森下卓,九段,1966-07-10,1983-09-21,1987-01-14,1989-10-03,1992-07-10,1994-04-01,2003-12-12,,
現役,162,浦野真彦,八段,1964-03-14,1983-10-19,1987-04-01,1989-04-01,1996-04-01,2012-09-14,,,
